Name,Sector,Instrument,Assets
Trent Ltd.,Services,Equity,4.72%
The Indian Hotels Company Ltd.,Services,Equity,4.26%
Persistent Systems Ltd.,Technology,Equity,3.30%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,3.29%
Supreme Industries Ltd.,Chemicals,Equity,3.27%
Cummins India Ltd.,Capital Goods,Equity,3.04%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,2.76%
ICICI Bank Ltd.,Financial,Equity,2.68%
The Phoenix Mills Ltd.,Construction,Equity,2.51%
Astral Ltd.,Chemicals,Equity,2.38%
TVS Motor Company Ltd.,Automobile,Equity,2.30%
UNO Minda Ltd.,Automobile,Equity,2.27%
PI Industries Ltd.,Chemicals,Equity,2.17%
Fortis Healthcare Ltd.,Healthcare,Equity,2.15%
Coforge Ltd.,Technology,Equity,2.03%
Schaeffler India Ltd.,Capital Goods,Equity,2.00%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,1.99%
JK Cement Ltd.,Construction,Equity,1.98%
ABB India Ltd.,Capital Goods,Equity,1.85%
Abbott India Ltd.,Healthcare,Equity,1.85%
Sundaram Finance Ltd.,Financial,Equity,1.84%
Coromandel International Ltd.,Chemicals,Equity,1.76%
Alkem Laboratories Ltd.,Healthcare,Equity,1.65%
Tata Communications Ltd.,Communication,Equity,1.57%
Bajaj Finance Ltd.,Financial,Equity,1.47%
The Federal Bank Ltd.,Financial,Equity,1.28%
Avenue Supermarts Ltd.,Services,Equity,1.28%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.26%
Voltas Ltd.,Consumer Discretionary,Equity,1.18%
Tata Power Company Ltd.,Energy,Equity,1.17%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.16%
Lupin Ltd.,Healthcare,Equity,1.01%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,0.99%
Linde India Ltd.,Chemicals,Equity,0.98%
3M India Ltd.,Diversified,Equity,0.98%
Solar Industries India Ltd.,Chemicals,Equity,0.93%
Balkrishna Industries Ltd.,Automobile,Equity,0.92%
Bharat Electronics Ltd.,Capital Goods,Equity,0.92%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,0.90%
PB Fintech Ltd.,Services,Equity,0.87%
Apar Industries Ltd.,Diversified,Equity,0.85%
Endurance Technologies Ltd.,Automobile,Equity,0.81%
Bata India Ltd.,Consumer Staples,Equity,0.79%
Indian Bank,Financial,Equity,0.78%
SKF India Ltd.,Capital Goods,Equity,0.76%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.73%
Bharat Forge Ltd.,Automobile,Equity,0.63%
K.P.R. Mill Ltd.,Textiles,Equity,0.62%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.62%
Mphasis Ltd.,Technology,Equity,0.61%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,0.60%
Carborundum Universal Ltd.,Metals & Mining,Equity,0.55%
Jubilant FoodWorks Ltd.,Services,Equity,0.54%
Zomato Ltd.,Services,Equity,0.53%
Fine Organic Industries Ltd.,Chemicals,Equity,0.53%
Ipca Laboratories Ltd.,Healthcare,Equity,0.52%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.50%
State Bank of India,Financial,Equity,0.49%
Mankind Pharma Ltd.,Healthcare,Equity,0.48%
NHPC Ltd.,Energy,Equity,0.48%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,0.45%
Bharat Dynamics Ltd.,Capital Goods,Equity,0.41%
Torrent Power Ltd.,Energy,Equity,0.38%
Page Industries Ltd.,Textiles,Equity,0.34%
Honeywell Automation India Ltd.,Capital Goods,Equity,0.34%
Timken India Ltd.,Capital Goods,Equity,0.34%
Oberoi Realty Ltd.,Construction,Equity,0.32%
Prestige Estates Projects Ltd.,Construction,Equity,0.31%
Sumitomo Chemical India Ltd.,Chemicals,Equity,0.30%
CreditAccess Grameen Ltd.,Financial,Equity,0.30%
Vedant Fashions Ltd.,Services,Equity,0.28%
L&T Finance Holdings Ltd.,Financial,Equity,0.27%
Aditya Birla Fashion and Retail Ltd.,Services,Equity,0.26%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.19%
The Ramco Cements Ltd.,Construction,Equity,0.18%
Navin Fluorine International Ltd.,Chemicals,Equity,0.17%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,0.16%
Atul Ltd.,Chemicals,Equity,0.12%
Ajanta Pharma Ltd.,Healthcare,Equity,0.10%
Kei Industries Ltd.,Capital Goods,Equity,0.09%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.08%
Godrej Properties Ltd.,Construction,Equity,0.08%
United Breweries Ltd.,Consumer Staples,Equity,0.07%
Varun Beverages Ltd.,Consumer Staples,Equity,0.05%
Jyoti CNC Automation Ltd.,Capital Goods,Equity,0.01%
