Name,Sector,Instrument,Assets
Birlasoft Ltd.,Technology,Equity,3.99%
Narayana Hrudayalaya Ltd.,Healthcare,Equity,3.87%
Brigade Enterprises Ltd.,Construction,Equity,3.76%
Blue Star Ltd.,Consumer Discretionary,Equity,3.30%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,2.86%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.80%
Ahluwalia Contracts (India) Ltd.,Construction,Equity,2.38%
CCL Products (India) Ltd.,Consumer Staples,Equity,2.30%
Can Fin Homes Ltd.,Financial,Equity,2.07%
JK Lakshmi Cement Ltd.,Construction,Equity,2.04%
Persistent Systems Ltd.,Technology,Equity,2.02%
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Equity,2.01%
Galaxy Surfactants Ltd.,Chemicals,Equity,1.82%
Kaynes Technology India Ltd.,Capital Goods,Equity,1.65%
Tata Motors Ltd.,Automobile,Equity,1.61%
CIE Automotive India Ltd.,Metals & Mining,Equity,1.61%
The Phoenix Mills Ltd.,Construction,Equity,1.58%
Fine Organic Industries Ltd.,Chemicals,Equity,1.58%
PB Fintech Ltd.,Services,Equity,1.54%
BSE Ltd.,Services,Equity,1.45%
Chemplast Sanmar Ltd.,Chemicals,Equity,1.39%
CreditAccess Grameen Ltd.,Financial,Equity,1.37%
RHI Magnesita India Ltd.,Construction,Equity,1.28%
Minda Corporation Ltd.,Automobile,Equity,1.24%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.21%
City Union Bank Ltd.,Financial,Equity,1.21%
KPIT Technologies Ltd.,Technology,Equity,1.19%
Coforge Ltd.,Technology,Equity,1.18%
Vesuvius India Ltd.,Construction,Equity,1.14%
Mrs. Bectors Food Specialities Ltd.,Consumer Staples,Equity,1.11%
Craftsman Automation Ltd.,Automobile,Equity,1.10%
Rolex Rings Ltd,Capital Goods,Equity,1.03%
Carborundum Universal Ltd.,Metals & Mining,Equity,0.99%
Data Patterns (India) Ltd.,Capital Goods,Equity,0.99%
JK Cement Ltd.,Construction,Equity,0.99%
Sundaram Finance Ltd.,Financial,Equity,0.92%
PNC Infratech Ltd.,Construction,Equity,0.83%
Neogen Chemicals Ltd.,Chemicals,Equity,0.82%
India Shelter Finance Corporation Ltd.,Financial,Equity,0.74%
Sudarshan Chemical Industries Ltd.,Chemicals,Equity,0.73%
Orient Electric Ltd.,Consumer Discretionary,Equity,0.72%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.70%
Computer Age Management Services Ltd.,Services,Equity,0.67%
Jyothy Labs Ltd.,Consumer Staples,Equity,0.66%
R R Kabel Ltd.,Consumer Discretionary,Equity,0.65%
Multi Commodity Exchange Of India Ltd.,Services,Equity,0.64%
Reserve Bank of India,Financial,T-Bills,0.63%
Mas Financial Services Ltd.,Financial,Equity,0.63%
Apar Industries Ltd.,Diversified,Equity,0.62%
Global Health Ltd.,Healthcare,Equity,0.62%
Sansera Engineering Ltd.,Automobile,Equity,0.60%
KFin Technologies Ltd.,Financial,Equity,0.55%
MTAR Technologies Ltd.,Capital Goods,Equity,0.54%
Vijaya Diagnostic Centre Ltd.,Healthcare,Equity,0.54%
Heidelberg Cement India Ltd.,Construction,Equity,0.53%
Rainbow Children's Medicare Ltd.,Healthcare,Equity,0.53%
KNR Constructions Ltd.,Construction,Equity,0.53%
Ipca Laboratories Ltd.,Healthcare,Equity,0.52%
Mahindra Lifespace Developers Ltd.,Construction,Equity,0.51%
UNO Minda Ltd.,Automobile,Equity,0.51%
Bharat Dynamics Ltd.,Capital Goods,Equity,0.49%
Alicon Castalloy Ltd.,Metals & Mining,Equity,0.48%
Mahanagar Gas Ltd.,Energy,Equity,0.45%
SJS Enterprises Ltd.,Automobile,Equity,0.45%
Fortis Healthcare Ltd.,Healthcare,Equity,0.45%
Tata Elxsi Ltd.,Technology,Equity,0.42%
Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,Equity,0.39%
Kirloskar Oil Engines Ltd.,Capital Goods,Equity,0.39%
Go Fashion (India) Ltd.,Services,Equity,0.39%
Alembic Pharmaceuticals Ltd.,Healthcare,Equity,0.38%
JM Financial Ltd.,Financial,Equity,0.36%
Jamna Auto Industries Ltd.,Automobile,Equity,0.36%
VST Industries Ltd.,Consumer Staples,Equity,0.32%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.31%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,0.29%
Suryoday Small Finance Bank Ltd.,Financial,Equity,0.27%
Aether Industries Ltd.,Chemicals,Equity,0.26%
Jupiter Life Line Hospitals Ltd.,Healthcare,Equity,0.26%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,0.25%
Timken India Ltd.,Capital Goods,Equity,0.24%
Kei Industries Ltd.,Capital Goods,Equity,0.22%
TeamLease Services Ltd.,Services,Equity,0.22%
Vedant Fashions Ltd.,Services,Equity,0.22%
SRF Ltd.,Diversified,Equity,0.21%
Karur Vysya Bank Ltd.,Financial,Equity,0.20%
Balrampur Chini Mills Ltd.,Consumer Staples,Equity,0.20%
ICICI Securities Ltd.,Financial,Equity,0.19%
Navin Fluorine International Ltd.,Chemicals,Equity,0.19%
Reserve Bank of India,Financial,T-Bills,0.18%
EPL Ltd.,Chemicals,Equity,0.17%
TCNS Clothing Co. Ltd.,Textiles,Equity,0.15%
Mphasis Ltd.,Technology,Equity,0.15%
Container Corporation Of India Ltd.,Services,Equity,0.14%
Mankind Pharma Ltd.,Healthcare,Equity,0.14%
Firstsource Solutions Ltd.,Services,Equity,0.14%
Reserve Bank of India,Financial,T-Bills,0.13%
Happy Forgings Ltd.,Metals & Mining,Equity,0.13%
Laurus Labs Ltd.,Healthcare,Equity,0.12%
Honasa Consumer Ltd.,Consumer Staples,Equity,0.12%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,0.11%
Inox India Ltd.,Metals & Mining,Equity,0.04%
SBFC Finance Ltd.,Financial,Equity,0.01%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.01%
