Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,7.76%
ICICI Bank Ltd.,Financial,Equity,7.17%
Reliance Industries Ltd.,Energy,Equity,6.83%
Infosys Ltd.,Technology,Equity,5.29%
Larsen & Toubro Ltd.,Construction,Equity,4.78%
Bharti Airtel Ltd.,Communication,Equity,3.84%
Tata Consultancy Services Ltd.,Technology,Equity,3.51%
NTPC Ltd.,Energy,Equity,2.97%
Axis Bank Ltd.,Financial,Equity,2.88%
State Bank of India,Financial,Equity,2.85%
Ultratech Cement Ltd.,Construction,Equity,2.67%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,2.66%
Bajaj Finance Ltd.,Financial,Equity,2.62%
ITC Ltd.,Consumer Staples,Equity,2.58%
HCL Technologies Ltd.,Technology,Equity,2.12%
Tata Motors Ltd.,Automobile,Equity,1.97%
Mahindra & Mahindra Ltd.,Automobile,Equity,1.85%
Bharat Electronics Ltd.,Capital Goods,Equity,1.67%
Bajaj Auto Ltd.,Automobile,Equity,1.61%
SBI Life Insurance Company Ltd.,Insurance,Equity,1.47%
Maruti Suzuki India Ltd.,Automobile,Equity,1.45%
Kotak Mahindra Bank Ltd.,Financial,Equity,1.38%
Hindustan Unilever Ltd.,Consumer Staples,Equity,1.37%
Titan Company Ltd.,Consumer Discretionary,Equity,1.30%
United Spirits Ltd.,Consumer Staples,Equity,1.29%
Zomato Ltd.,Services,Equity,1.28%
Max Healthcare Institute Ltd.,Healthcare,Equity,1.24%
Siemens Ltd.,Capital Goods,Equity,1.21%
Mankind Pharma Ltd.,Healthcare,Equity,1.17%
Interglobe Aviation Ltd.,Services,Equity,1.16%
ABB India Ltd.,Capital Goods,Equity,1.11%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,1.11%
Abbott India Ltd.,Healthcare,Equity,0.94%
REC Ltd.,Financial,Equity,0.88%
Indusind Bank Ltd.,Financial,Equity,0.83%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.82%
Page Industries Ltd.,Textiles,Equity,0.76%
Apollo Hospitals Enterprise Ltd.,Healthcare,Equity,0.73%
PI Industries Ltd.,Chemicals,Equity,0.71%
Cipla Ltd.,Healthcare,Equity,0.69%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.66%
CG Power and Industrial Solutions Ltd.,Capital Goods,Equity,0.65%
The Indian Hotels Company Ltd.,Services,Equity,0.63%
Nestle India Ltd.,Consumer Staples,Equity,0.62%
Avenue Supermarts Ltd.,Services,Equity,0.59%
Tata Consumer Products Ltd.,Consumer Staples,Equity,0.57%
Tech Mahindra Ltd.,Technology,Equity,0.49%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,0.46%
Info Edge (India) Ltd.,Services,Equity,0.43%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,0.38%
Coforge Ltd.,Technology,Equity,0.31%
Ashok Leyland Ltd.,Automobile,Equity,0.17%
