Name,Sector,Instrument,Assets
The Indian Hotels Company Ltd.,Services,Equity,4.54%
Apollo Tyres Ltd.,Automobile,Equity,3.61%
Tata Communications Ltd.,Communication,Equity,3.23%
Max Financial Services Ltd.,Financial,Equity,3.12%
The Federal Bank Ltd.,Financial,Equity,3.09%
Max Healthcare Institute Ltd.,Healthcare,Equity,3.00%
Coforge Ltd.,Technology,Equity,2.99%
Indian Bank,Financial,Equity,2.97%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,2.77%
Persistent Systems Ltd.,Technology,Equity,2.62%
Ipca Laboratories Ltd.,Healthcare,Equity,2.57%
Union Bank of India,Financial,Equity,2.32%
Power Finance Corporation Ltd.,Financial,Equity,2.21%
AIA Engineering Ltd.,Metals & Mining,Equity,2.10%
Aurobindo Pharma Ltd.,Healthcare,Equity,2.05%
REC Ltd.,Financial,Equity,2.02%
Bharat Electronics Ltd.,Capital Goods,Equity,2.01%
Jindal Steel & Power Ltd.,Metals & Mining,Equity,1.93%
SKF India Ltd.,Capital Goods,Equity,1.84%
Balkrishna Industries Ltd.,Automobile,Equity,1.81%
Hindustan Aeronautics Ltd.,Capital Goods,Equity,1.80%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.75%
Sundram Fasteners Ltd.,Capital Goods,Equity,1.74%
Cummins India Ltd.,Capital Goods,Equity,1.69%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.61%
Solar Industries India Ltd.,Chemicals,Equity,1.49%
ACC Ltd.,Construction,Equity,1.41%
Mphasis Ltd.,Technology,Equity,1.40%
Oracle Financial Services Software Ltd.,Technology,Equity,1.39%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.39%
PB Fintech Ltd.,Services,Equity,1.31%
Supreme Industries Ltd.,Chemicals,Equity,1.29%
Redington Ltd.,Services,Equity,1.22%
Fortis Healthcare Ltd.,Healthcare,Equity,1.22%
Gujarat Fluorochemicals Ltd.,Chemicals,Equity,1.22%
AU Small Finance Bank Ltd.,Financial,Equity,1.12%
KEC International Ltd.,Capital Goods,Equity,1.09%
KNR Constructions Ltd.,Construction,Equity,1.05%
Karur Vysya Bank Ltd.,Financial,Equity,1.01%
Aarti Industries Ltd.,Chemicals,Equity,0.88%
Glenmark Pharmaceuticals Ltd.,Healthcare,Equity,0.87%
Nippon Life India Asset Management Ltd.,Financial,Equity,0.83%
Greenlam Industries Ltd.,Consumer Staples,Equity,0.79%
Gland Pharma Ltd.,Healthcare,Equity,0.74%
Cholamandalam Investment and Finance Company Ltd.,Financial,Equity,0.66%
Tata Chemicals Ltd.,Chemicals,Equity,0.66%
City Union Bank Ltd.,Financial,Equity,0.59%
Emami Ltd.,Consumer Staples,Equity,0.57%
Arvind Ltd.,Textiles,Equity,0.55%
Vardhman Textiles Ltd.,Textiles,Equity,0.55%
Symphony Ltd.,Consumer Discretionary,Equity,0.51%
Zee Entertainment Enterprises Ltd.,Communication,Equity,0.51%
Five-Star Business Finance Ltd.,Financial,Equity,0.49%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.46%
Dilip Buildcon Ltd.,Construction,Equity,0.45%
Timken India Ltd.,Capital Goods,Equity,0.44%
Navneet Education Ltd.,Consumer Staples,Equity,0.41%
Atul Ltd.,Chemicals,Equity,0.40%
Cholamandalam Financial Holdings Ltd.,Financial,Equity,0.40%
VST Industries Ltd.,Consumer Staples,Equity,0.40%
Vesuvius India Ltd.,Construction,Equity,0.40%
Greenpanel Industries Ltd.,Consumer Staples,Equity,0.39%
Greenply Industries Ltd.,Consumer Staples,Equity,0.26%
Mahindra Holidays & Resorts India Ltd.,Services,Equity,0.22%
Schaeffler India Ltd.,Capital Goods,Equity,0.21%
Jagran Prakashan Ltd.,Consumer Staples,Equity,0.20%
Dhanuka Agritech Ltd.,Chemicals,Equity,0.19%
Delta Corp Ltd.,Services,Equity,0.18%
