Name,Sector,Instrument,Assets
Cummins India Ltd.,Capital Goods,Equity,4.04%
Persistent Systems Ltd.,Technology,Equity,3.83%
Supreme Industries Ltd.,Chemicals,Equity,3.80%
Solar Industries India Ltd.,Chemicals,Equity,3.49%
Bharat Electronics Ltd.,Capital Goods,Equity,2.84%
Oberoi Realty Ltd.,Construction,Equity,2.71%
Schaeffler India Ltd.,Capital Goods,Equity,2.71%
JK Cement Ltd.,Construction,Equity,2.63%
Thermax Ltd.,Capital Goods,Equity,2.60%
PI Industries Ltd.,Chemicals,Equity,2.49%
Bharat Forge Ltd.,Automobile,Equity,2.36%
Sundaram Finance Ltd.,Financial,Equity,2.28%
Power Finance Corporation Ltd.,Financial,Equity,2.19%
Ipca Laboratories Ltd.,Healthcare,Equity,2.11%
SKF India Ltd.,Capital Goods,Equity,2.05%
Coromandel International Ltd.,Chemicals,Equity,2.05%
Atul Ltd.,Chemicals,Equity,1.95%
Samvardhana Motherson International Ltd.,Automobile,Equity,1.87%
Kajaria Ceramics Ltd.,Construction,Equity,1.85%
Exide Industries Ltd.,Capital Goods,Equity,1.81%
Blue Star Ltd.,Consumer Discretionary,Equity,1.70%
Hindustan Petroleum Corporation Ltd.,Energy,Equity,1.67%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,1.58%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.55%
Oil India Ltd.,Energy,Equity,1.47%
LIC Housing Finance Ltd.,Financial,Equity,1.46%
MRF Ltd.,Automobile,Equity,1.45%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,1.45%
APL Apollo Tubes Ltd.,Metals & Mining,Equity,1.43%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,1.36%
Coforge Ltd.,Technology,Equity,1.36%
The Federal Bank Ltd.,Financial,Equity,1.33%
Voltas Ltd.,Consumer Discretionary,Equity,1.33%
Mphasis Ltd.,Technology,Equity,1.31%
ICICI Bank Ltd.,Financial,Equity,1.26%
Shriram Finance Ltd,Financial,Equity,1.23%
The Ramco Cements Ltd.,Construction,Equity,1.19%
Bata India Ltd.,Consumer Staples,Equity,1.12%
SRF Ltd.,Diversified,Equity,1.07%
AU Small Finance Bank Ltd.,Financial,Equity,1.06%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.06%
Mahindra & Mahindra Financial Services Ltd.,Financial,Equity,1.05%
Axis Bank Ltd.,Financial,Equity,0.99%
Amber Enterprises India Ltd.,Consumer Discretionary,Equity,0.91%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,0.89%
Sheela Foam Ltd.,Consumer Discretionary,Equity,0.88%
Max Financial Services Ltd.,Financial,Equity,0.88%
Emami Ltd.,Consumer Staples,Equity,0.84%
Vedant Fashions Ltd.,Services,Equity,0.77%
Sundram Fasteners Ltd.,Capital Goods,Equity,0.74%
Balkrishna Industries Ltd.,Automobile,Equity,0.71%
HDFC Bank Ltd.,Financial,Equity,0.67%
Tech Mahindra Ltd.,Technology,Equity,0.66%
Alkem Laboratories Ltd.,Healthcare,Equity,0.61%
UNO Minda Ltd.,Automobile,Equity,0.56%
Page Industries Ltd.,Textiles,Equity,0.56%
Amara Raja Energy & Mobility Ltd,Capital Goods,Equity,0.55%
Metro Brands Ltd.,Consumer Staples,Equity,0.54%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,0.45%
Kalpataru Projects International Ltd.,Capital Goods,Equity,0.43%
Gujarat Gas Ltd.,Energy,Equity,0.40%
Shree Cement Ltd.,Construction,Equity,0.37%
Jubilant FoodWorks Ltd.,Services,Equity,0.35%
Laurus Labs Ltd.,Healthcare,Equity,0.34%
Gujarat State Petronet Ltd.,Energy,Equity,0.33%
Honeywell Automation India Ltd.,Capital Goods,Equity,0.32%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,0.30%
Gland Pharma Ltd.,Healthcare,Equity,0.28%
Sun TV Network Ltd.,Services,Equity,0.25%
PNC Infratech Ltd.,Construction,Equity,0.22%
Kewal Kiran Clothing Ltd.,Textiles,Equity,0.22%
Godrej Agrovet Ltd.,Consumer Staples,Equity,0.16%
