Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,5.41%
State Bank of India,Financial,Equity,3.85%
ICICI Bank Ltd.,Financial,Equity,3.00%
Reliance Industries Ltd.,Energy,Equity,2.92%
Larsen & Toubro Ltd.,Construction,Equity,2.85%
Axis Bank Ltd.,Financial,Equity,2.72%
NTPC Ltd.,Energy,Equity,2.26%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.24%
Lupin Ltd.,Healthcare,Equity,2.07%
Gujarat State Petronet Ltd.,Energy,Equity,1.91%
HCL Technologies Ltd.,Technology,Equity,1.83%
Wipro Ltd.,Technology,Equity,1.76%
Delhivery Ltd.,Services,Equity,1.73%
PB Fintech Ltd.,Services,Equity,1.68%
The Federal Bank Ltd.,Financial,Equity,1.67%
Gland Pharma Ltd.,Healthcare,Equity,1.65%
HDFC Asset Management Company Ltd.,Financial,Equity,1.63%
JK Cement Ltd.,Construction,Equity,1.63%
LIC Housing Finance Ltd.,Financial,Equity,1.62%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,1.61%
Tata Steel Ltd.,Metals & Mining,Equity,1.55%
Dabur India Ltd.,Consumer Staples,Equity,1.52%
Infosys Ltd.,Technology,Equity,1.52%
Prestige Estates Projects Ltd.,Construction,Equity,1.49%
Tata Communications Ltd.,Communication,Equity,1.47%
ITC Ltd.,Consumer Staples,Equity,1.45%
Bharti Airtel Ltd.,Communication,Equity,1.41%
SKF India Ltd.,Capital Goods,Equity,1.37%
Zomato Ltd.,Services,Equity,1.36%
Aurobindo Pharma Ltd.,Healthcare,Equity,1.34%
Bayer CropScience Ltd.,Chemicals,Equity,1.33%
Indian Bank,Financial,Equity,1.33%
Ceat Ltd.,Automobile,Equity,1.31%
Bata India Ltd.,Consumer Staples,Equity,1.29%
Bharat Forge Ltd.,Automobile,Equity,1.29%
Max Financial Services Ltd.,Financial,Equity,1.24%
FSN E-Commerce Ventures Ltd.,Services,Equity,1.23%
ACC Ltd.,Construction,Equity,1.23%
Fortis Healthcare Ltd.,Healthcare,Equity,1.12%
Eicher Motors Ltd.,Automobile,Equity,1.09%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.05%
SRF Ltd.,Diversified,Equity,0.99%
NMDC Ltd.,Metals & Mining,Equity,0.97%
Grasim Industries Ltd.,Construction,Equity,0.96%
Shriram Finance Ltd,Financial,Equity,0.95%
SBI Cards And Payment Services Ltd.,Financial,Equity,0.93%
Container Corporation Of India Ltd.,Services,Equity,0.92%
SBI Life Insurance Company Ltd.,Insurance,Equity,0.90%
Interglobe Aviation Ltd.,Services,Equity,0.89%
Coal India Ltd.,Energy,Equity,0.84%
Indraprastha Gas Ltd.,Energy,Equity,0.83%
Mahindra & Mahindra Ltd.,Automobile,Equity,0.81%
Gateway Distriparks Ltd.,Services,Equity,0.80%
Page Industries Ltd.,Textiles,Equity,0.80%
Natco Pharma Ltd.,Healthcare,Equity,0.77%
Coforge Ltd.,Technology,Equity,0.77%
Prince Pipes and Fittings Ltd.,Chemicals,Equity,0.76%
Tata Motors Ltd.,Automobile,Equity,0.76%
Vinati Organics Ltd.,Chemicals,Equity,0.71%
LTIMindtree Ltd.,Technology,Equity,0.68%
Atul Ltd.,Chemicals,Equity,0.67%
NHPC Ltd.,Energy,Equity,0.64%
Tata Consultancy Services Ltd.,Technology,Equity,0.61%
One97 Communications Ltd.,Services,Equity,0.53%
United Spirits Ltd.,Consumer Staples,Equity,0.51%
Chemplast Sanmar Ltd.,Chemicals,Equity,0.51%
Emami Ltd.,Consumer Staples,Equity,0.50%
Bajaj Finance Ltd.,Financial,Equity,0.49%
Sapphire Foods India Ltd.,Services,Equity,0.48%
Sun Pharmaceutical Industries Ltd.,Healthcare,Equity,0.48%
Kajaria Ceramics Ltd.,Construction,Equity,0.48%
Cummins India Ltd.,Capital Goods,Equity,0.45%
Data Patterns (India) Ltd.,Capital Goods,Equity,0.44%
Hindalco Industries Ltd.,Metals & Mining,Equity,0.39%
Divi's Laboratories Ltd.,Healthcare,Equity,0.35%
Indus Towers Ltd.,Communication,Equity,0.33%
Indian Energy Exchange Ltd.,Services,Equity,0.26%
Laurus Labs Ltd.,Healthcare,Equity,0.25%
Avenue Supermarts Ltd.,Services,Equity,0.23%
Sona BLW Precision Forgings Ltd.,Automobile,Equity,0.22%
UPL Ltd.,Chemicals,Equity,0.15%
Power Finance Corporation Ltd.,Financial,Equity,0.05%
Hindustan Unilever Ltd.,Consumer Staples,Equity,0.05%
Grasim Industries - (Partly Paid Equity),Construction,PPE,0.05%
Titan Company Ltd.,Consumer Discretionary,Equity,0.05%
Maruti Suzuki India Ltd.,Automobile,Equity,0.04%
Bharat Electronics Ltd.,Capital Goods,Equity,0.03%
Mirae Asset Liquid Fund Direct- Growth,,Mutual Fund,0.00%
