Name,Sector,Instrument,Assets
HDFC Bank Ltd.,Financial,Equity,7.93%
Bajaj Holdings & Investment Ltd.,Financial,Equity,7.23%
Power Grid Corporation Of India Ltd.,Energy,Equity,6.13%
Maruti Suzuki India Ltd.,Automobile,Equity,5.29%
HCL Technologies Ltd.,Technology,Equity,5.28%
Coal India Ltd.,Energy,Equity,5.14%
ICICI Bank Ltd.,Financial,Equity,5.13%
ITC Ltd.,Consumer Staples,Equity,4.99%
Axis Bank Ltd.,Financial,Equity,4.32%
Microsoft Corportion (US),Technology,Forgn. Eq,4.27%
Meta Platforms Inc,Services,Forgn. Eq,4.08%
Alphabet Inc Class A,Services,Forgn. Eq,3.65%
Amazon. com Inc. (USA),Services,Forgn. Eq,3.39%
Kotak Mahindra Bank Ltd.,Financial,Equity,2.23%
Motilal Oswal Financial Services Ltd.,Financial,Equity,2.09%
NMDC Ltd.,Metals & Mining,Equity,1.81%
Multi Commodity Exchange Of India Ltd.,Services,Equity,1.59%
Balkrishna Industries Ltd.,Automobile,Equity,1.59%
Central Depository Services (India) Ltd.,Financial,Equity,1.56%
Infosys Ltd.,Technology,Equity,1.34%
Zydus Lifesciences Ltd.,Healthcare,Equity,1.25%
Indian Energy Exchange Ltd.,Services,Equity,1.07%
Cipla Ltd.,Healthcare,Equity,1.05%
Dr. Reddy's Laboratories Ltd.,Healthcare,Equity,0.99%
Indraprastha Gas Ltd.,Energy,Equity,0.80%
Ipca Laboratories Ltd.,Healthcare,Equity,0.72%
Oracle Financial Services Software Ltd.,Technology,Equity,0.70%
UTI Asset Management Company Ltd.,Financial,Equity,0.51%
ICRA Ltd.,Services,Equity,0.42%
Bajaj Finance Ltd.,Financial,Equity,0.40%
Canara Bank,Financial,CD,0.32%
Punjab National Bank,Financial,CD,0.32%
Union Bank of India,Financial,CD,0.32%
ICICI Bank Ltd.,Financial,CD,0.28%
National Bank For Agriculture & Rural Development,Financial,CD,0.28%
Bank Of Baroda,Financial,CD,0.25%
E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,0.24%
Reserve Bank of India,Financial,T-Bills,0.24%
Kotak Mahindra Bank Ltd.,Financial,Money Mkt,0.20%
HDFC Bank Ltd.,Financial,CD,0.20%
Axis Bank Ltd.,Financial,CD,0.20%
NMDC Steel Ltd.,Metals & Mining,Equity,0.14%
State Bank of India,Financial,CD,0.13%
Kotak Mahindra Bank Ltd.,Financial,CD,0.12%
Maharashtra Scooters Ltd.,Automobile,Equity,0.10%
Reserve Bank of India,Financial,T-Bills,0.10%
Bank Of Baroda,Financial,CD,0.08%
Axis Bank Ltd.,Financial,CD,0.08%
HDFC Bank Ltd.,Financial,CD,0.08%
Indusind Bank Ltd.,Financial,Equity,0.07%
HDFC Bank Ltd.,Financial,CP,0.04%
ICICI Bank Ltd.,Financial,CD,0.04%
National Bank For Agriculture & Rural Development,Financial,CD,0.04%
Tata Motors Ltd.,Automobile,Equity,0.04%
Axis Bank Ltd.,Financial,CD,0.04%
Tata Consultancy Services Ltd.,Technology,Equity,0.04%
Tech Mahindra Ltd.,Technology,Equity,0.03%
Bandhan Bank Ltd.,Financial,Equity,0.02%
Biocon Ltd.,Healthcare,Equity,0.02%
Hindustan Unilever Ltd.,Consumer Staples,Equity,0.01%
Reserve Bank of India,Financial,T-Bills,0.01%
Accelya Solutions India Ltd.,Technology,Equity,0.01%
Reliance Industries Ltd.,Energy,Equity,0.01%
Swaraj Engines Ltd.,Capital Goods,Equity,0.01%
HDFC Life Insurance Co Ltd.,Insurance,Equity,0.00%
United Spirits Ltd.,Consumer Staples,Equity,0.00%
Larsen & Toubro Ltd.,Construction,Equity,0.00%
Larsen & Toubro Ltd.,Construction,Futures,-0.00%
United Spirits Ltd.,Consumer Staples,Futures,-0.00%
HDFC Life Insurance Co Ltd.,Insurance,Futures,-0.00%
Reliance Industries Ltd.,Energy,Futures,-0.01%
Hindustan Unilever Ltd.,Consumer Staples,Futures,-0.01%
Biocon Ltd.,Healthcare,Futures,-0.02%
Bandhan Bank Ltd.,Financial,Futures,-0.02%
Tech Mahindra Ltd.,Technology,Futures,-0.03%
Tata Consultancy Services Ltd.,Technology,Futures,-0.04%
Tata Motors Ltd.,Automobile,Futures,-0.04%
Indusind Bank Ltd.,Financial,Futures,-0.07%
Bajaj Finance Ltd.,Financial,Futures,-0.40%
