Name,Sector,Instrument,Assets
Reliance Industries Ltd.,Energy,Equity,9.84%
Aurobindo Pharma Ltd.,Healthcare,Equity,6.97%
Punjab National Bank,Financial,Equity,5.39%
NMDC Ltd.,Metals & Mining,Equity,5.37%
Linde India Ltd.,Chemicals,Equity,5.15%
Bharat Heavy Electricals Ltd.,Capital Goods,Equity,4.72%
Poonawalla Fincorp Ltd.,Financial,Equity,4.62%
Adani Power Ltd.,Energy,Equity,4.57%
Oracle Financial Services Software Ltd.,Technology,Equity,4.20%
Tata Communications Ltd.,Communication,Equity,3.64%
JIO Financial Services Ltd.,Financial,Equity,3.53%
GMR Airports Infrastructure Ltd.,Construction,Equity,3.41%
Steel Authority Of India Ltd.,Metals & Mining,Equity,3.35%
Escorts Kubota Ltd.,Automobile,Equity,3.07%
Oil India Ltd.,Energy,Equity,3.02%
Container Corporation Of India Ltd.,Services,Futures,2.84%
Samvardhana Motherson International Ltd.,Automobile,Equity,2.74%
Crisil Ltd.,Services,Equity,2.44%
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Equity,2.36%
Biocon Ltd.,Healthcare,Equity,2.09%
Ipca Laboratories Ltd.,Healthcare,Equity,1.85%
Sun TV Network Ltd.,Services,Equity,1.83%
Reserve Bank of India,Financial,T-Bills,1.82%
Tata Power Company Ltd.,Energy,Futures,1.65%
Gujarat Gas Ltd.,Energy,Equity,1.56%
Container Corporation Of India Ltd.,Services,Equity,1.44%
Reserve Bank of India,Financial,T-Bills,1.28%
Gujarat Gas Ltd.,Energy,Futures,1.26%
Dalmia Bharat Ltd.,Construction,Equity,1.17%
Reserve Bank of India,Financial,T-Bills,1.11%
Reserve Bank of India,Financial,T-Bills,1.01%
Bharat Electronics Ltd.,Capital Goods,Futures,0.98%
Tata Power Company Ltd.,Energy,Equity,0.89%
Mphasis Ltd.,Technology,Equity,0.48%
Jindal Steel & Power Ltd.,Metals & Mining,Futures,0.27%
Adani Green Energy Ltd.,Capital Goods,Equity,0.09%
Bharat Electronics Ltd.,Capital Goods,Equity,0.08%
Bharat Petroleum Corporation Ltd.,Energy,Equity,0.07%
Life Insurance Corporation of India,Insurance,Equity,0.02%
