Name,Sector,Instrument,Assets
Blue Star Ltd.,Consumer Discretionary,Equity,4.68%
Kalpataru Projects International Ltd.,Capital Goods,Equity,3.41%
Chalet Hotels Ltd.,Services,Equity,3.09%
GE T&D India Ltd.,Capital Goods,Equity,3.01%
Finolex Industries Ltd.,Chemicals,Equity,2.82%
Lemon Tree Hotels Ltd.,Services,Equity,2.73%
Elgi Equipments Ltd.,Capital Goods,Equity,2.55%
SBFC Finance Ltd.,Financial,Equity,2.32%
City Union Bank Ltd.,Financial,Equity,2.28%
CMS Info Systems Ltd.,Services,Equity,2.26%
Krishna Institute of Medical Sciences Ltd,Healthcare,Equity,2.18%
V-Guard Industries Ltd.,Consumer Discretionary,Equity,2.16%
Whirlpool Of India Ltd.,Consumer Discretionary,Equity,2.14%
Triveni Turbine Ltd.,Construction,Equity,2.14%
Ahluwalia Contracts (India) Ltd.,Construction,Equity,2.10%
Carborundum Universal Ltd.,Metals & Mining,Equity,2.07%
E.I.D. - Parry (India) Ltd.,Consumer Staples,Equity,2.03%
Chemplast Sanmar Ltd.,Chemicals,Equity,2.03%
DOMS Industries Ltd.,Consumer Staples,Equity,1.96%
LIC Housing Finance Ltd.,Financial,Equity,1.95%
Esab India Ltd.,Capital Goods,Equity,1.79%
Brigade Enterprises Ltd.,Construction,Equity,1.74%
TTK Prestige Ltd.,Consumer Discretionary,Equity,1.73%
VST Industries Ltd.,Consumer Staples,Equity,1.63%
Go Fashion (India) Ltd.,Services,Equity,1.55%
CSB Bank Ltd.,Financial,Equity,1.51%
ZF Commercial Vehicle Control Systems India Ltd.,Automobile,Equity,1.47%
Dodla Dairy Ltd,Consumer Staples,Equity,1.43%
Karur Vysya Bank Ltd.,Financial,Equity,1.43%
Vedant Fashions Ltd.,Services,Equity,1.41%
Archean Chemical Industries Ltd.,Chemicals,Equity,1.31%
Hatsun Agro Product Ltd.,Consumer Staples,Equity,1.30%
Westlife Foodworld Ltd.,Services,Equity,1.29%
GR Infraprojects Ltd.,Construction,Equity,1.28%
Sheela Foam Ltd.,Consumer Discretionary,Equity,1.27%
PVR Inox Ltd.,Services,Equity,1.27%
Indian Energy Exchange Ltd.,Services,Equity,1.20%
Fine Organic Industries Ltd.,Chemicals,Equity,1.19%
KNR Constructions Ltd.,Construction,Equity,1.19%
Star Cement Ltd.,Construction,Equity,1.13%
Anand Rathi Wealth Ltd.,Financial,Equity,1.08%
Hawkins Cookers Ltd.,Consumer Discretionary,Equity,1.00%
Ratnamani Metals & Tubes Ltd.,Metals & Mining,Equity,0.99%
Rajratan Global Wire Ltd.,Metals & Mining,Equity,0.93%
Zydus Wellness Ltd.,Consumer Staples,Equity,0.86%
Navin Fluorine International Ltd.,Chemicals,Equity,0.83%
Gujarat State Petronet Ltd.,Energy,Equity,0.65%
Thangamayil Jewellery Ltd.,Consumer Discretionary,Equity,0.61%
Relaxo Footwears Ltd.,Consumer Staples,Equity,0.59%
Rossari Biotech Ltd.,Chemicals,Equity,0.59%
V-Mart Retail Ltd.,Services,Equity,0.56%
Nuvoco Vistas Corporation Ltd.,Construction,Equity,0.43%
Graphite India Ltd.,Capital Goods,Equity,0.20%
Shreno Ltd.,Construction,Pref. Shares,0.07%
Sai Silks (Kalamandir) Ltd.,Textiles,Equity,0.07%
Happy Forgings Ltd.,Metals & Mining,Equity,0.02%
