Name,Sector,Instrument,Assets
ICICI Bank Ltd.,Financial,Equity,6.20%
HDFC Bank Ltd.,Financial,Equity,5.61%
LTIMindtree Ltd.,Technology,Equity,5.13%
Bajaj Finance Ltd.,Financial,Equity,5.10%
Infosys Ltd.,Technology,Equity,4.04%
Avenue Supermarts Ltd.,Services,Equity,3.72%
Kotak Mahindra Bank Ltd.,Financial,Equity,3.51%
Coforge Ltd.,Technology,Equity,3.26%
Info Edge (India) Ltd.,Services,Equity,3.26%
Titan Company Ltd.,Consumer Discretionary,Equity,3.07%
Astral Ltd.,Chemicals,Equity,2.83%
Maruti Suzuki India Ltd.,Automobile,Equity,2.16%
Zomato Ltd.,Services,Equity,1.92%
Trent Ltd.,Services,Equity,1.73%
Asian Paints Ltd.,Chemicals,Equity,1.58%
Ajanta Pharma Ltd.,Healthcare,Equity,1.53%
Dr. Lal Pathlabs Ltd.,Healthcare,Equity,1.52%
Bharti Airtel Ltd.,Communication,Equity,1.51%
Havells India Ltd.,Capital Goods,Equity,1.47%
Persistent Systems Ltd.,Technology,Equity,1.45%
Berger Paints India Ltd.,Chemicals,Equity,1.43%
PI Industries Ltd.,Chemicals,Equity,1.42%
Shree Cement Ltd.,Construction,Equity,1.38%
AU Small Finance Bank Ltd.,Financial,Equity,1.33%
Torrent Pharmaceuticals Ltd.,Healthcare,Equity,1.31%
Nestle India Ltd.,Consumer Staples,Equity,1.30%
Poly Medicure Ltd.,Healthcare,Equity,1.29%
Schaeffler India Ltd.,Capital Goods,Equity,1.26%
Grindwell Norton Ltd.,Metals & Mining,Equity,1.23%
Motherson Sumi Wiring India Ltd.,Automobile,Equity,1.18%
Suven Pharmaceuticals Ltd.,Healthcare,Equity,1.17%
Indiamart Intermesh Ltd.,Services,Equity,1.15%
Endurance Technologies Ltd.,Automobile,Equity,1.12%
Pidilite Industries Ltd.,Chemicals,Equity,1.09%
Jubilant FoodWorks Ltd.,Services,Equity,1.09%
Eicher Motors Ltd.,Automobile,Equity,1.05%
3M India Ltd.,Diversified,Equity,1.02%
Marico Ltd.,Consumer Staples,Equity,1.00%
Aavas Financiers Ltd.,Financial,Equity,1.00%
Divi's Laboratories Ltd.,Healthcare,Equity,0.96%
Ipca Laboratories Ltd.,Healthcare,Equity,0.93%
Page Industries Ltd.,Textiles,Equity,0.90%
Samvardhana Motherson International Ltd.,Automobile,Equity,0.87%
Syngene International Ltd.,Healthcare,Equity,0.83%
Eris Lifesciences Ltd.,Healthcare,Equity,0.82%
Polycab India Ltd.,Capital Goods,Equity,0.79%
Dixon Technologies (India) Ltd.,Capital Goods,Equity,0.78%
Dabur India Ltd.,Consumer Staples,Equity,0.77%
Sheela Foam Ltd.,Consumer Discretionary,Equity,0.65%
Crompton Greaves Consumer Electricals Ltd.,Consumer Discretionary,Equity,0.64%
Gland Pharma Ltd.,Healthcare,Equity,0.61%
Rossari Biotech Ltd.,Chemicals,Equity,0.57%
Relaxo Footwears Ltd.,Consumer Staples,Equity,0.52%
FSN E-Commerce Ventures Ltd.,Services,Equity,0.50%
Barbeque-Nation Hospitality Ltd.,Services,Equity,0.46%
Metropolis Healthcare Ltd.,Healthcare,Equity,0.39%
Reserve Bank of India,Financial,T-Bills,0.16%
Reserve Bank of India,Financial,T-Bills,0.15%
Clearing Corporation of India,Others,ST Dep.,0.03%
Kothari Industrial Corporation Ltd.,Diversified,Equity,0.00%
Modern Syntex (India) Ltd.,Textiles,Equity,0.00%
Mukerian Papers Ltd.,Consumer Staples,Equity,0.00%
Spartek Ceramics India Ltd.,Construction,Equity,0.00%
MTZ Polyfilms Ltd.,Chemicals,Equity,0.00%
